query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
קמח מלא,P_3060061,קמח כוסמין מלא,קמח כוסמין מלא,11.9,11.90 ₪,"1 ק""ג",טחנות ישראליות,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BRQ16_M_P_3060061_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_3060061.jpg
קמח מלא,P_7296073472841,קמח חיטה מלא מנופה,קמח חיטה מלא מנופה,9.4,9.40 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YWW60_M_P_7296073472841_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_7296073472841.jpg
קמח מלא,P_7296073173335,"קמח שיפון מלא 1 ק""ג",קמח שיפון מלא,7.4,7.40 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XVK56_M_P_7296073173335_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_7296073173335.jpg
קמח מלא,P_7296073348962,פסטה אמר פנה אורגני500גר,פסטה אמר פנה אורגני 500 גרם,18.5,18.50 ₪,500 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XQH66_M_P_7296073348962_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_7296073348962.jpg
קמח מלא,P_2333128,"קמח מלא אורגני 1 ק""ג",קמח מלא אורגני,16.9,16.90 ₪,"1 ק""ג",הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SIR22_M_P_2333128_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_2333128.jpg
קמח מלא,P_4952136,קמח כוסמין מלא אורגני1קג,קמח כוסמין מלא אורגני,20.9,20.90 ₪,"1 ק""ג",הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SPT30_M_P_4952136_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_4952136.jpg
קמח מלא,P_4504762,לחם מקמח מלא,לחם מקמח מלא,12.5,12.50 ₪,550 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GVB28_M_P_4504762_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_4504762.jpg
קמח מלא,P_7296073592488,לחם מקמח מלא,לחם מקמח מלא,12.5,12.50 ₪,540 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TWR70_M_P_7296073592488_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_7296073592488.jpg
קמח מלא,P_9401790,מארז פיתות קמח מלא,מארז 5 פיתות קמח מלא,9.0,9.00 ₪,5 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WYH30_M_P_9401790_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_9401790.jpg
קמח מלא,P_1696231,מארז מיני פיתות מקמח מלא,מארז מיני פיתות מקמח מלא,17.5,17.50 ₪,10 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MEQ28_M_P_1696231_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_1696231.jpg
קמח מלא,P_7290015603201,איטריות קמח מלא,איטריות קמח מלא,12.2,12.20 ₪,454 גרם,מזרח ומערב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VGS36_M_P_7290015603201_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_7290015603201.jpg
קמח מלא,P_2037194,לחם קמח מלא בטוב,לחם קמח מלא בטוב,15.9,15.90 ₪,750 גרם,ודש,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WOP26_M_P_2037194_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_2037194.jpg
קמח מלא,P_4033712,לחם  עננים מקמח מלא,לחם  עננים מקמח מלא,16.5,16.50 ₪,750 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LZT20_M_P_4033712_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_4033712.jpg
קמח מלא,P_3268429,לחם ירוק מקמח מלא,לחם ירוק מקמח מלא,15.5,15.50 ₪,750 גרם,דגנית עין בר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XXU34_M_P_3268429_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_3268429.jpg
קמח מלא,P_6322838,לחם קמח מלא 100%,לחם קמח מלא 100%,14.5,14.50 ₪,750 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SHB32_M_P_6322838_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_6322838.jpg
קמח מלא,P_2887812,מצה 100% קמח מלא,מצה 100% קמח מלא,10.0,10.00 ₪,400 גרם,מצות אביב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GWR36_M_P_2887812_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_2887812.jpg
קמח מלא,P_8263054,ספגטי קמח מלא אורגני,ספגטי קמח מלא אורגני,14.9,14.90 ₪,500 גרם,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CKT28_M_P_8263054_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_מלא/P_8263054.jpg
